	F1	Acc	P@1	AUCROC	AUCPR	RankAvgPrec	CovErr	CovErrNorm	
NB_[1, 1]	0.6834, 0.6427, 0.6427, 0.6369, 0.6205, 0.8214, 0.3573, 0.1786, 
NMF_[1, 1]	0.7050, 0.6727, 0.6727, 0.7090, 0.7072, 0.8363, 0.3273, 0.1637, 
PF_[1, 1]	0.7815, 0.6976, 0.7682, 0.8494, 0.8389, 0.8510, 0.2979, 0.1490, 
TF_[1, 1]	0.6775, 0.5953, 0.5953, 0.5714, 0.5763, 0.7976, 0.4047, 0.2024, 
BL_[1, 1]	0.6775, 0.5953, 0.5953, 0.5000, 0.5181, 0.7976, 0.4047, 0.2024, 
nMMSBM_[1, 1]	0.7032, 0.6710, 0.6710, 0.7064, 0.7036, 0.8355, 0.3290, 0.1645, 
KNN_[1, 1]	0.6866, 0.6150, 0.6150, 0.6355, 0.6169, 0.8075, 0.3850, 0.1925, 
Rand_[1, 1]	0.6775, 0.5105, 0.5105, 0.5047, 0.5221, 0.7552, 0.4895, 0.2448, 
NB_[1, 2]	0.6801, 0.6427, 0.6427, 0.6287, 0.6170, 0.8214, 0.3573, 0.1786, 
NMF_[1, 2]	0.7060, 0.6716, 0.6716, 0.7058, 0.7040, 0.8358, 0.3284, 0.1642, 
PF_[1, 2]	0.8263, 0.7349, 0.8157, 0.8975, 0.8855, 0.8674, 0.2651, 0.1326, 
TF_[1, 2]	0.6775, 0.5953, 0.5953, 0.5120, 0.5366, 0.7976, 0.4047, 0.2024, 
BL_[1, 2]	0.6775, 0.5953, 0.5953, 0.5000, 0.5181, 0.7976, 0.4047, 0.2024, 
nMMSBM_[1, 2]	0.7060, 0.6755, 0.6755, 0.7047, 0.7060, 0.8378, 0.3245, 0.1622, 
KNN_[1, 2]	0.6927, 0.6388, 0.6388, 0.6577, 0.6385, 0.8194, 0.3612, 0.1806, 
Rand_[1, 2]	0.6775, 0.4958, 0.4958, 0.4903, 0.5118, 0.7479, 0.5042, 0.2521, 
NB_[1, 3]	0.6802, 0.6512, 0.6512, 0.6329, 0.6225, 0.8256, 0.3488, 0.1744, 
NMF_[1, 3]	0.7137, 0.6795, 0.6908, 0.7246, 0.7128, 0.8397, 0.3205, 0.1603, 
PF_[1, 3]	0.8628, 0.7773, 0.8559, 0.9242, 0.9201, 0.8886, 0.2227, 0.1114, 
TF_[1, 3]	0.6775, 0.5953, 0.5953, 0.5054, 0.5259, 0.7976, 0.4047, 0.2024, 
BL_[1, 3]	0.6775, 0.5953, 0.5953, 0.5000, 0.5181, 0.7976, 0.4047, 0.2024, 
nMMSBM_[1, 3]	0.7240, 0.7100, 0.7100, 0.7516, 0.7513, 0.8550, 0.2900, 0.1450, 
KNN_[1, 3]	0.7100, 0.6699, 0.6699, 0.7126, 0.6856, 0.8349, 0.3301, 0.1651, 
Rand_[1, 3]	0.6783, 0.5037, 0.5037, 0.5154, 0.5375, 0.7518, 0.4963, 0.2482, 
